Colonne1	Colonne2
woooooow en plus elle reprend du rihanna ???? #TheVoice	
@ElNoso +10000\nça pue les auditions truquées comme d'hab quoi\n#TheVoice	
Elle pointe ?????????? Sinn le soutif et rester à la maison décoration #TheVoice	
elle gère à mort omg #TheVoice	
Oh putain mais alors elle mdrrr elle blague appp!!! Ce flooo je kiff #TheVoice	
#TheVoice Ok elle envoit :oo\nJ'aime beaucoup trop	
Trop belle cette meuf #TheVoice	
Elle se la pète trop, j’aime pas.  #TheVoice	
Oh la voix hummm \n#thevoice	
J’adore déjà ??#TheVoice sur du @rihanna	
OMG JE KIFFE #TheVoice	
pourquoi ils se retournent déjà???? whaaa c'est bon on a compris qu'ils veulent faire gagner une fille cette année  #TheVoice	
Mouais #TheVoice	
ELLE EST GÉNIALE ELLE #thevoice	
On dirait vraiment rihanna#TheVoice	
Laaaa foooolleee en 2sc #TheVoice	
Et le premier pied est pour Obispo !!! #TheVoice	
Elle en fait dix fois trop celle là même si elle gère mdr #Drea #TheVoice	
Je me plante jamais. https://t.co/J7hkiRSR1O	
ohhh non elle a peut être une belle voix mais alors quelle merdeuse !!!! elle se la joue rihanna j'aime pas du tout  #TheVoice	
WESH JE SUIS AMOUREUSE LA BB JE TAIME #TheVoice	
J’ADORE OUI OUI OUI JE T’AIME TOI T’ES UNE VRAIE PERLE #TheVoice	
4eme chansons de la soirée et 4eme chanson en anglais ... je suis bien en train de regarder #thevoice france ??	
Wooaa mais j'aime trop?? #TheVoice	
Oh la la c’est une catastrophe ! #TheVoice	
@CouineHarley La on en tient une bonne... l'autre elle avait juste a nous donner sa taille de froc #TheVoice	
Elle est grave jolie but elle s’la pete un peu nn ? #TheVoice	
Euh Drea son style son flow je l’aime trop protégez la #TheVoice	
Genre elle a dit 2 mots et ils se sont retournés #TheVoice	
Elle chante bien  !#TheVoice	
PUTAIN COMMENT ELLE PETE LE FEU ELLE #thevoice	
Les gars n’avaient même pas le choix ??????????\n\n#TheVoice	
Ça existe encore ce style vestimentaire ? ?? #TheVoice	
COMMENT JLA KIFF #TheVoice	
Sur Rude Boy de Rihanna.. logique que ca se retourne un peu quand même ?? #TheVoice	
#TheVoice  je pense quand va la retrouver ds les anges 11 elle est top	
Drea C'EST la #Jain @jain de la Colombie ??????\n#TheVoice \n@nikosaliagas	
Ouuuuuh je l'a kiffe elle #TheVoice	
?????????? ouais je kiffe déjà #TheVoice caliente ????	
J'aime la position.......\nEt de Un ....\nle genre de pantalon là cherie, wallai mon père te vois avec çà il va te ma… https://t.co/ezUSJTUb01	
Non mais sérieux, vas-y, donne nous tes mensurations aussi, pendant que tu y es ! Mais les gens s'entendent quand i… https://t.co/FO6tnuwMxa	
QUOI ???!!!!  GENRE VOUS VOUS RETOURNEZ ALORS QUE LE GARS JUSTE AVANT C'ÉTAIT UNE BOMBE WSH #TheVoice	
Y’a des gens ils ont rien de spécial ils sont pris et d’autres ils ont des voix de ouf il ne sont pas pris, ça m’énerve de ouf  #TheVoice	
#TheVoice elle me fait pensait à dua lipa	
La tête de Mika ?? #thevoice	
JE TE VEUX DANS MON ÉQUIPE DREA #TheVoice	
#TheVoice AHHHJ ELLE EST TROP BELLE	
Déjà la meuf trop sur d'elle j'aime pas #TheVoice	
JE VIENS DE TOMBER AMOUREUSE #TheVoice	
J'ADOOOOOORE\n\n[Drea] #TheVoice	
Mais faut avoué qu'elle peut ?????? #LT #TheVoice	
mais du coup big love sur le monteur son de #TheVoice	
#TheVoice Waouh déjà la colombienne je kiff déjà ??????	
Je suis fan ?? #TheVoice	
c’est une beauté cette nana #TheVoice	
Elle est dingue sa reprise de Rihanna!!! #TheVoice	
Euh...?? J-Why méritait plus sa place que la première qu'est passée \n#TheVoice	
J adore la Colombie..bien roots...wahou#thevoice	
#TheVoice oh putain	
Wow elle défonce tout la meuf! #TheVoice	
Ahhh j’aime bienggg #TheVoice	
Elle est belle chante bien ??#TheVoice	
Devant #TheVoice https://t.co/sruB2globX	
Ouah le kiff total elle met le feu #TheVoice	
Elle, je kiff !! #TheVoice	
allez jsuis tombée love c’est bon #TheVoice	
OMG JSUI AMOUREUSE #thevoice	
Mika avec sa petite tête de choqué ?? #TheVoice	
En gros, vous cherchez le truc assez commercial ? Non mais, je n’enlève pas le talent de cette candidate mais, tout de même. #TheVoice	
Elle a une présence et un move hallucinant elle ?? #TheVoice	
sa voix, son flow.. Je l’aime. #TheVoice	
Je l’aime pas du tout #TheVoice	
Je suis le seul à se que Twitter m'indique que #TheVoice est en tendance alors que quand j'y regarde non?  ??	
Elle est vraiment incroyable #TheVoice	
Pas mon style #TheVoice	
Elle a refait ma soirée la !!! #TheVoice	
La rapidité du buzz de Florent Pagny ! ?? #TheVoice	
ptin je la kiffe #TheVoice	
Attendez ! Elle a dit une phrase ils se sont retournés direct et ils se sont pas retournés pour le gars gospel là #TheVoice	
Obispo il twerk sur Mika mdrrrrr il a osé #TheVoice	
Mtnt ds chaque émission dès que ça parle de Colombie ils te posent une zic de Nacos en fond mddrrrr bande de forceu… https://t.co/T4Of6SPFet	
@TheVoice_TF1 @ObispoPascal Yesssss super ???????????????? très bon choix #TheVoice ????????????????	
Vous aimez ? Je trouve qu’elle en fait un peu trop ....... ?? Elel chante c’est clair mais c’est trop ! ?? @TheVoice_TF1 #thevoice	
waouh elle déchire #TheVoice	
Je kiffe olala ?? #TheVoice	
ok je suis amoureuse #thevoice	
Rude boy #thevoice elle chante bien mais se la raconte dommage !	
ça c’est bon ???? #thevoice	
Mais elle a même pas encore dit un mot qu'il se  retourne gardez du suspense ?? #Thevoice	
J’adoooore ! #TheVoice	
Elle a du flow  #TheVoice	
#TheVoice Meuf GRAND COEUR sur toi!	
Elle m'énerve. \n#TheVoice	
God la colombienne elle m’émoustille avec son reggaeton #TheVoice	
#TheVoice - The Voici met la bande son de Narcos... pour une colombienne. ??	
OK je suis amoureuse d'elle.  #thevoice	
Elle chante hyper bien elle a un flow de ouf elle est hyper fraîche ?? #TheVoice	
j’adoreeeeeee ???????????? https://t.co/YOfrEgk7iM	
#TheVoice ce canon ptdrrr. J'entends pas ce qu'elle chante. C'est bizarre	
C’est trop cruel #TheVoice je regrette l’émission pour enfant de France 2 où tout le monde avait 10/10	
#TheVoice Pascal Obispo déchire !! J’adore ??????????	
Comment elle fait la gow la Rihanna du pauvre là #TheVoice	
Waow comment elle fait le show!! Excellent!! #TheVoice	
Elle se pète trop  elle prends trop la confiance ?? je trouve #TheVoice	
J'ADORE SON STYLE, PUTAIN JE SUIS AMOUREUSE DE CETTE FILLE #TheVoice	
Mais gros elle a pas de soutif ???? #TheVoice	
Alooors ça c’est vraiment pas juste, elle a même pas commencé vous vous retourner, et celui d’avant aloors #TheVoice	
ELLE VIENT DE CALI EN COLOMBIE COMME MON COPAIN ?? #TheVoice	
Drea Dury est une grosse allumeuse  #TheVoice	
#TheVoice ça va finir dans les best the voice auditions ça	
On reconnaît la filière art plastique dans le look\n\n#TheVoice	
Ils n'auraient  pas dû changer de coach mais les emmener chez un ORL .?? #TheVoice	
Je buzz direct. Badgirlriri sort de ce corps. #TheVoice	
Et ben voilà voilà ce que j'appelle une chanteuse j'ai eu peur avec les trois premiers mais là enfin on tient quelque chose. #thevoice	
Faut se détendre hein personne te connais pour le moment —‘ #TheVoice #Caselapete	
elle a rien de ouf en plus... #TheVoice	
Par des circonstances atténuantes, me voilà devant #TheVoice. https://t.co/Ek2pxNP9fe	
ça va elle se kiff pas trop mdr #TheVoice	
Mika est shook par le petit pascal la ?????? #TheVoice	
Et comme d’habitude à l’ouverture de #thevoice je passe ma soirée à pensée à ma copine d’amour @PouletteNela ??????	
#TheVoice je l'aime elle	
M. Obispo : pas exciter le Mika SVP (la régie) #thevoice	
Elle se la pete un peu mais elle a une belle voix et un flow de fou! ???? #TheVoice	
OMG J’adore ????? #TheVoice ??	
AHHHHH JE SUIS AMOUREUSE  #thevoice	
#TheVoice bon j avoue elle vient de mettre @rihanna en PLS ????????	
ouaaaaaaaye Drea c’est ma go pour l’émission putain!!!!! #TheVoice	
"par contre c'est nimp elle a dit ""yeah yeah"" ils se sont retournés mdrrrrrrr #TheVoice"	
?? ma vie sa voix  #TheVoice	
Ok elle c'est devenu ma fav !! #TheVoice	
Et la, la meuf elle chante une phrase, on voit pas son talent et ils se retourne en 5 secondes, ça donne envie de zapper  #TheVoice	
Impressionnante le Colombienne. Elle me donne des frisons #TheVoice	
J'adore son trou à pantalon ?? #TheVoice	
Mais elle est trop géniale elle aussi là, je suis ébahie. #TheVoice	
ptdrrrr sa reprise de Rude Boy est magnifique ?? #TheVoice	
Putain la chanson inchantable!  #TheVoice	
ça se retourne pas pour j-why mais pour ÇA oui???? UNE BLAGUE  #TheVoice	
Alors elle je l’épouse #TheVoice	
Drea a le style et une voix particulière, un peu pincée. J’aime beaucoup. #TheVoice	
Ptdrrrrrrr j'suis morte ???????????????????????? #TheVoice	
Non j'ai envie de la frapper nul à chier elle est trop agressive #TheVoice	
À peine elle a commencé à chanter que ça a buzzé. C’est qui ce bout de femme? WoW! \n#thevoice	
Ils aiment bien les petites jeunes Pagny et Obispo.\nEn bombe.\n#TheVoice	
ok la meuf elle a tout pour plaire j’aiiiiiiime?? #Thevoice	
Alors là perso je comprend pas ... Elle a rien chanté ... @TheVoice_TF1 #TheVoice	
en plus d'être belle elle nique le game ptn ?????? #TheVoice	
J’aime trop j’aime trop  #TheVoice	
Une autre extraterrestre ?????? #TheVoice	
Elle joue trop #TheVoice	
Les coatchs ce soir.#TheVoice https://t.co/a8zntuA4mf	
J'ai des frissons \n#RudeBoy de @rihanna \n#TheVoice\n@TheVoice_TF1 \n@TF1	
Wouah le charme qu’elle a, j’en reviens pas ?????? #TheVoice	
Sympa pascal obispo#TheVoice	
Cette saison annonce pas mal de bons talents #TheVoice	
la prestance, la voix, tout ?? #thevoice	
Avec Loan on débrief #TheVoice mddddr	
J'suis amoureuse pis elle chante du Rih alors là ?? #TheVoice	
elle se la pète pas mal mais... jadore !!!! #TheVoice	
Je suis définitivement amoureuse la #TheVoice	
Je l’aime https://t.co/ipLMkny5r3	
Ha ouiiiiiiiiiii ouiiiiiiiii ?? #TheVoice	
La meuf défonce Rihanna sur son propre titre. #TheVoice	
Pascal Obispo est ON FIRE ce soir. Il a envie de danser ! #TheVoice	
Je suis toujours dérange par Garou en présentateur... #DestinationEurovision bon façon je retourne sur #TheVoice. #Zapping	
jsuis archi fan j'aime trop son style et sa voix pouah #TheVoice	
JE VIENS DE TBER AMOUREUSE #thevoice	
Ils devraient renommer l'émission #TheFeeling car ce n'est plus là voix qui fait la différence ! @TheVoice_TF1… https://t.co/CSTMUES3Ba	
"Ecco sur ""Life on Mars"", c'est une justesse d'interprétation stratosphérique, que d'émotions ?? #TheVoice https://t.co/GMpNuqckdn"	
ptn j’adore, elle a tout pour elle cette meuf #TheVoice	
Je le redit:\nSi y a un(e) metalleux qui passe à #TheVoice, je balance un vote par SMS https://t.co/XorcPFee7y	
@ObispoPascal dans @TheVoice_TF1 j’adore ???? #thevoice	
Elle aurait pu s'acheter un jean.... #TheVoice	
Elle n'a pas un peu le melon déjà, elle ? #thevoice	
enfin une qui sort du lot, j’suis déjà fan  #TheVoice	
Et la prétentieuse de la saison est arrivée  #TheVoice	
#TheVoice wow quelle voix, je kiffe grave Drea , même si je la trouve prétentieuse ,c la 1ère impression qu'elle m'a donné	
J’suis pas fan de sa voix... #TheVoice	
AHHHHHHHH jveux qu'elle me marche dessus!!!! #thevoice	
Je danse même!!! https://t.co/K9uN4ZGaMm	
On aime le petit déhanché d'Obispo à Mika ?? #TheVoice	
Je suis tombé amoureux #TheVoice	
Elle assure trop.. #thevoice	
j'adoooore elle a un de ces truc?? #TheVoice	
@ninafreak88 dans #TheVoice ????????\n(Dsl de te comparer à tout le monde) ?? https://t.co/lZf90HCMeK	
J'aime trop mdr #TheVoice	
Elle est top elle j'adore le style ?? quel voix #TheVoice	
ah elle ambiance #TheVoice	
Quelqu'un m'explique comment les jurés peuvent juger du talent de quelqu'un en l'entendant juste 2 secondes ? #TheVoice	
Drea C'EST la #Jain de la Colombie ??????\n#TheVoice \n@nikosaliagas\n@Jainmusic	
Putain la meuf là dans #TheVoice elle fait trop de manières c’est insupportable, j’ai envie de lui foutre des baffes	
Il est en train d'essayer de twerker sur mon siège là ? #TheVoice https://t.co/qVHuDnMo2n	
#TheVoice elle envoit !!	
ELLE CHANTE DU RIRI JSUIS EN TRANSE APPELEZ LES POMPEROS LE.DÉHANCHÉ LA SOSOSOS #TheVoice	
Ça je valide parcontre ??#TheVoice	
Je suis archi fan de Drea ! #TheVoice	
Ha Bordel j’adore !! Tout son style, sa voix.. elle a l’air délirante ! ?????????????? #TheVoice	
"#TheVoice\nJe peux definitivement pas ""rude boy"" ... fallait la laisser a rihanna"	
Sa voix je kiff ???? #TheVoice	
Ça déchire ! ! #TheVoice	
Carrément Pascal Obispo il bouge son booty wsh ?????? #thevoice	
Vous allez avoir un enfant très bientôt et vous ne trouvez pas de prénoms? Regardez #TheVoice	
Oh le pantalon déchiré : était-ce vraiment nécessaire ? ?? #TheVoice	
Cest le feu ?? #TheVoice	
La meuf a un ego surdimensionné. Mais c'est encore en dessous de son talent. #theVoice #comeonRudeBoy	
J’adore, je suis fan. ?? #TheVoice	
#TheVoice quelle voix drea. Par contre @ObispoPascal première émission il en fait trop.	
Putain la meuf je la kiff déjà, je veux la voir en finale balek sinon je boycott l’émission ???????? #TheVoice	
Simple comme bonjour : une technique pour nettoyer l’écran d’ordinateur : https://t.co/NpqAqBFYxN      |      #TheVoice #FCMOGCN	
je l'aime trop et en plus elle chante du Riri #thevoice	
#TheVoice vous vous rapellez de Gilbert le surdoué en informatique ? Je suis fan et cherche des nouvelles désespéré… https://t.co/hgZMn4oSlM	
La collègue de la colombienne c'est quelque chose hein ! #TheVoice	
Elle se la pète Drea ?? #TheVoice\nPardonnez mes fautes sur les prénoms, je suis bigleuse. ??	
J'adooooore son style #TheVoice	
Elle est ouf la petite colombienne. #thevoice	
"c quoi son numéro ? c’est pour un devoir ;) #TheVoice"	
C’EST UN GRAND OUIIIIIII #thevoice	
1e déduction de ce retour de #TheVoice : Obispo est célib'.	
Ptn j'adore #TheVoice	
#thevoice bof on dirait une ophelie winter bis bof	
Il était temps qu'elle soit sélectionnée quelque part, elle arrive au bout de ses fringues.\n#TheVoice	
Whooooo!!!  Choquée!!  #TheVoice	
Putaaain la meuf elle reprend Rude Boy j’adooore ! #TheVoice	
Elle se la pète un peu la Colombienne... ?? #TheVoice	
#TheVoice heuuu ils sont sourds cette année se retourner pour elle mais pas pour le gars d'avant... Comprend pas le delire	
@mikasounds tu sais pas danser espece de trou du cul! Tu danse mais tu buzz pas espece de gros fion #TheVoice	
Elle a un flow incroyable la colombienne, c'est trop  #TheVoice	
SO QQUN A LE LIEN DE RUDE BOY A LA MANIERE DE LA COLOMBIENNE JE LA VEUX PUTAIN #TheVoice	
Comment elle déchire  !!!!! #TheVoice https://t.co/xd08ZtIKYS	
J’adoooore ?? #TheVoice	
La colombienne là  j'peux deeeaaaadddddd #TheVoice	
ok jsu amoureuse de la latino #TheVoice	
Elle me fait trop penser à Dua Lipa #TheVoice	
Sinon Rihanna vient officiellement d’arrêter la chanson pour se lancer dans le macramé en Uruguay \n#TheVoice	
Wow!! Une bombe !! ?? #TheVoice	
Ce moment où @ObispoPascal et @florentpagny se retournent après seulement une note... #TheVoice https://t.co/QxsDZY8AVJ	
Pour le moment êtes vous satisfait des prestations ? #TheVoice	
Ptnnnnn je l'aime #TheVoice	
C’est bon j’suis amoureuse, c’est ma préférée ! ?? #TheVoice	
#TheVoice trop de mise en scène... Manque de naturel... Dommage !	
Putain mais je kiffe cette énergie c’est juste magique #TheVoice	
JE SUIS AMOUREUSE ???????? #thevoice	
Elle assure la colombienne :) #TheVoice	
Ah j'adoooooore #TheVoice	
La colombienne ?? #TheVoice	
Elle a grave la conf mais cs sa qui change touuut #TheVoice	
Mika reste calme voyons  #TheVoice	
 Quand les Coach vont ce retourner o yea ça c'est ce que je veux! \n@nikosaliagas @ObispoPascal @florentpagny @TheVoice_TF1 #TheVoice	
elle est géniale celle là ptn, elle m'enjaille #TheVoice	
Ah oui ya #Thevoice je vais aller regarder	
Et pour la colombienne avec son jean bouffé par les rats elle a pas encore chanté que ça se retourne  #TheVoice	
Elle chante la sauvagerie comme ça et on laisse ? #TheVoice ??	
Elle a du flooooowwww  #TheVoice	
Drea dury, je t'adore !! #TheVoice	
Pantalon troué rideau sur le dos pas de soutif et peut être pas de culotte aussi ?! #TheVoice	
Pas fan de la mise en scène à la base mais putain faut avouer qu'elle envoie de ouf ! #TheVoice	
MIKA veut quoi????\n #thevoice	
Je te veux dans mon équipe #Drea @TheVoice_TF1 #TheVoice @TF1	
C’est gênant #TheVoice	
Hearthstone : Des changements majeurs à venir pour les parties classées : https://t.co/iHpkpxrCWx      |      #TheVoice #FCMOGCN	
C'était sur que c'était une espagnole avec son accent #TheVoice	
Mdr la fille a à peine ouvert la bouche ils ont buzzé. Suspect #TheVoice	
Ohhhh je l’adore #TheVoice	
Drea Dury, la voix de Shakira avec l'attitude pupute de Rihanna ?? #TheVoice	
Pk Mika et Obispo ils font l'amour #TheVoice	
Présentement incapable de décréter avec moi-même si j'adore ou déteste le style de Drea... ?? #TheVoice	
mddrrr mon riz à éclabousser partout quand j’ai vu le regard de florent quand il vois la colombienne chanter et dan… https://t.co/giO2JZ0Xo1	
Alors elle je la kiffe bien #TheVoice	
#TheVoice #DestinationEurovision deux motions seulement mais c’est déjà assez compliqué comme ça https://t.co/7KT2ANYBO8	
Quand Doc l'a renvoyée dans le passé il a un peu exagéré le look des 90's je crois ?? #thevoice	
Elle fait son conc' tranquille je l'aime beaucoup cette nana ?? en plus elle chante Riri #TheVoice	
Si y'a moyen qu'elle aime un peu les filles jla démonte mais quand. elle. veut. #thevoice	
Jsuis tellement mal à l’aise là...\n#TheVoice	
Elle chante tres bien mais...\n#TheVoice	
J’adore #TheVoice ??????	
Elle est grave sex #TheVoice	
Ça y es j ai déjà ma chouchoute pour cette saison de #TheVoice  .... À juste 16 ans elle m à bouleversé en chantant . Bravo @EccoThevoice7	
MAIS COMMENT ÈLLE DÉFONCE TOUT DREA ?? #TheVoice	
"Ce look... ?? J'ai l'impression de me retrouver devant "" Hartley coeur à vif ""... #90's #TheVoice"	
Jsuis mort Florent pagny il s'est retourné juste pour mater #TheVoice	
Oh non mais elle sa voix son style son visage j’veux qu’elle gagne #TheVoice	
Elle est ouf !!!!  #TheVoice	
"Pagny qui nous fait une Adam Levine avec un ""je me retourne sur une note""  c'est un grand oui.\n#TheVoice"	
Je suis tombé amoureux de la colombienne ? po po po po po !!    #TheVoice	
#TheVoice prenez une chambre Mika et Pascal... ????????????	
Toi c normal que tu soit vite éliminée de KohLanta https://t.co/a8yNnPK9eT	
Woa je suis amoureux #TheVoice	
J'adore son #Rudeboy #TheVoice	
#TheVoice ça envoie du LOURD	
La colombienne elle est magnifique elle a un de c flow ?? #TheVoice	
Les coachs sont en forme !! #TheVoice	
J'aime trop ?? #TheVoice	
Elle chante bien par contre il faut qu’elle dégonfle un peu son melon et ca ira ??????#Thevoice	
Ah mais... oui ! Tellement ! #TheVoice	
"Très honnêtement je kiff "" rude boy "" et je trouve qu'elle le fait très bien !! #TheVoice"	
Les coachs n’ont aucun respect pour ceux qui chantent j’ai envie de les baffer #TheVoice	
ON ADOOOOORE ! Eh wesh la goe elle a des visions ????????????#TheVoice	
En Espagnol en plus ??????\nJe suis amoureux ?????? #TheVoice	
Bon j'étais ?? de la façon qu'elle parle ms elle chante ??#TheVoice	
Sa voix c'est juste de la bombe là #TheVoice	
Je sens qu'elle va me gaver elle... #Thevoice	
21h40 : premiere candidate potable de la soirée. La voix est là même si la fille a l'air de grave se la péter... #TheVoice	
Florent Pagny il me fait trop rire à appuyer dès que y’a du rap, c’est pas du tout son style mais il est ouvert à tout j’adore #TheVoice	
L'humilité c'est pas son fort, mais elle a un sacré flow ???????? #TheVoice	
4eme presta #TheVoice et toujours pas de chanson française. Je pleure.	
Hearthstone : Des changements majeurs à venir pour les parties classées : https://t.co/HNDSeFcXLW      |      #TheVoice #FCMOGCN	
Drea Dury ta intérêt à percer ! ??????#TheVoice	
#TheVoice obispo bouge bien sons boule soir	
J'aime moyen mais elle se la pète de trop #TheVoice	
Je la kiff rude boy de ririii la turfu shakira #TheVoice	
Les coachs m’éclatent ! Je les aime trop ! ?????? #TheVoice	
Ok on a le boulard de l'année ! #TheVoice	
J’aime pas du tout c’est confus wsh  #TheVoice	
Je préfèrele gars qui a chanté spice girls #TheVoice	
La fille est prête pour le stade de France ?????? #TheVoice	
#thevoice  eh enculez aussi sur le plateau bande de hmaaaar	
Elle pète tout putain Rihanna sort de ce corps #TheVoice ??	
#TheVoice mais NOOOOOOOON! vous avez de la m.... dans les oreilles !!! ?? J.Why chantait divinement bien ! Au secour… https://t.co/5aVeNhk3vF	
Je n’aurais jamais tourné pour cette merde. #TheVoice	
Wow c’est ma femme elle  #TheVoice	
C'est fou comme les candidats en France manquent cruellement d'humilité. Arrêtez de vous y croire, c'est un fucking télé-crochet. #TheVoice	
Mais c’est honteux de ce retourner aussi vite elle chante deux notes même pas habites tout le monde ce retourne ???? #TheVoice	
#thevoice Un scandale que personne ne se retourne pour le gars qui a chanté les Spices Girls...	
Obispo il se la pete un peu quand même. #TheVoice	
La plus belle image de la soirée pour moi c'est pascal qui twerk devant Mika ???????? #TheVoice	
je l'aime trop, elle chante grave bien #TheVoice	
Elle se sent plus mais elle a une belle voix #TheVoice	
Wow cette performance, cette femme, ce flow mais wow je suis amoureuse ???? #TheVoice	
Orea ou je sais pas quoi elle se la raconte beaucoup trop et elle chante bof. Next. #TheVoice	
Ils jouent à quoi Mika et Pascal ? ???? des gamins #TheVoice	
Rude boy le remix???????? juste un peu prétentieuse sinon rien a dire #TheVoice	
@WhiteStrikeGG Le pire c'est que c'est ça\n\net ça continue, la bombasse latino bankable, hop présélectionnée de base… https://t.co/pDbqCRNzG1	
Elle a mis le ?? ?? ?? #TheVoice	
La colombienne elle assure graveeeee !!! Sur du Rihanna je valide #TheVoice	
pq ils se retournent sur cette merde ? #TheVoice	
#TheVoice. Elle déchire tout??????????????	
@dylperaltiago Non mais grave...  Je les comprends pas. Le mec a une voix de fou... #theVoice	
mika et pascal qu’est ce que vous faites sur le siège MDRRRJEJFJEJ #TheVoice	
Omggg cette fille ?? #TheVoice	
Hey qu'est ce que tu fais dans la vie? \nJ'vends d'la drooooogue !\n#TheVoice	
Bon début de saison de ouf 4e talent hors catégorie\n#TheVoice	
J’adore !!!!!!!! #TheVoice	
Ecco, J-Way, Rea... c'est plus une audition là, c'est un bilan orthophoniste !\n#TheVoice	
Ah ouai, j'avais raison, elle est trop forte elle #TheVoice	
Je suis amoureux ?? #TheVoice	
J aime bien elle chante super bien wahouu bluffer ???????? #TheVoice	
Elle se la pete bcp ????????j’imagine même pas si elle devenait une star #melon ?????????? #TheVoice	
Les latinos c'est quelque chose ptn #TheVoice	
[MAJ] Playstation Network : Une panne générale affecte le service : https://t.co/1JbNJ5x4PF      |      #TheVoice #FCMOGCN	
Elle a respiré ils se sont retournés  #TheVoice	
La colombienne j'adore grave ?? \nSauf ces fringues desigual \n#TheVoice	
Pascal calme-toi on a dit pas le premier soir ptdrrrr ?????? #TheVoice	
J’aime trop sa version de rudeboy #TheVoice	
Charmée mais quelle pétasse  #TheVoice	
J'aime pas sa façon d'agir mais honnêtement elle chante bien #TheVoice	
Des fois iels laissent passer toute une chanson de ouf et iels en ont rien à branler et des fois au bout de trois n… https://t.co/tHsqjfdndZ	
J'adore #thevoice	
Une nouvelle Rihanna ???? #TheVoice	
Devant #TF1 pour regarder #TheVoice ????	
Du rihanna en espagnol ??  #TheVoice	
#TheVoice elle a une voie pas mal mais alors l'ego..... Déjà la meuf elle donne sa morpho... Mdr keske...	
Elle elle m'énerve #thevoice https://t.co/UlD9dJfKlA	
J’espere qu’une FILLE gagnera cette année ?? #TheVoice	
Elle sait faire le show, belle voix mais j'ai l'impression elle est essouflée #TheVoice	
Elle gère vraiment vocalement mais j'aime pas du tout sa façon d'être.. ??#TheVoice	
Elle elle a vraiment un truc !!!!!!! #TheVoice	
#thevoice  zazie hésite, elle a pas l'habitude de ce timbre de voix à l'opposé du sien ??	
Je suis amoureux #TheVoice	
mdr cte reusta #TheVoice	
Ahah je l’aime trop la colombienne! #TheVoice	
Cette chanson... *-* #TheVoice	
WAH LA REPRISE DE RUDE BOY #TheVoice	
@Sgc62 N’importe lequel mais un rappeur histoire de changer de style #TheVoice	
Waw elle gère tellement et son style j'aime trop #TheVoice	
Pascal Obispo il redonne de la vie à cette émission #TheVoice	
Waaaa elle a trop de flow #TheVoice	
MA FEMME #thevoice	
Au moins elle a confiance en elle, elle est super à l'aise ça fait plaisir à voir #TheVoice	
Mais cette fille latino dont je n'ai plus le prénom est géniale !! ?? #TheVoice	
Les gars, on a retrouvé Shaggy ?? #TheVoice	
jviens de tomber amoureuse de la colombienne #TheVoice	
Sa voix jwjwbbs son style omg trouvez moi son numéro svp #TheVoice	
J’adore ?? #TheVoice	
J’adore sa voix #TheVoice	
#TheVoice belle voix par contre il manque trop une identité artistique propre à elle !!	
C’est trop tôt pour se dire que Pascal Obispo est embarrassant ? #TheVoice	
elle gère a moooort #thevoice	
MAIS IL SE PASSE QUOI LÀ MDRRR LA CHANSON LEUR A DONNÉ DES PULSIONS #thevoice	
Olala cette reprise de Rude Boy???????? #TheVoice	
Superbe interprétation ???????? elle est magnifique Dreya et elle met le feu #TheVoice	
Ah ouais elle ne blague pour ce cover de Rihanna ?? elle a un vrai flow #TheVoice	
ok jsuis amoureuse de la go qui passe là#TheVoice	
Elle envoie vraiment pas mal, mais putain comment elle se la pète de fou #TheVoice	
Elle assuuuure ! J'aime trop ! #TheVoice	
Celle qui chante rude boy aïe aïe aïe ????????????  #TheVoice	
la meuf a un charisme  #TheVoice	
Drea Dury la futur Dua lipa, pour l'instant c'est ma fav #TheVoice	
Premier coup de ? de la soirée pour la colombienne ?? #TheVoice	
Pfiou j'ai chaud là #TheVoice	
Quand on te demande de te placer pour la photo de classe. #TheVoice https://t.co/F9oWcRKqmn	
#TheVoice Je crush	
@TheVoice_TF1 @ObispoPascal @mikasounds Ça envoie du lourd #TheVoice	
Je suis fou amoureux de sa voix \n#thevoice	
On peut juste parler de la beauté, de l’accent grave beau et de la voix magnifique d’Anna ???? #TheVoice	
Drea Dury elle m’a emmenée je sais pas où mais c’est un truc de fou, son style ?? #TheVoice	
La go qui viens de Colombie qu’ils ont introduit sur le générique de Narcos là, qui chante rude boy, ralalalalalala!! #TheVoice ??????????????	
Drea Dury déchire tout,non seulement elle a The Voice mais elle a surtout The Groove #TheVoice	
La colombienne de Cali m’enjaille trop!! \n\n#TheVoice	
ELLE EST HOT PUTAIN ELLE JOUE AVEC MES ÉMOTIONS #TheVoice	
#thevoice j'suis in love là c'est bon	
#TheVoice Il est chaud Pascal avec Mika !	
C'est n'importe quoi, c'est la foire à la saucisse ! ??#TheVoice	
Elle a oublier son soutif elle  #TheVoice	
Ptdrr la version espagnole de Rude Boy #TheVoice	
La meuf vient de ringardiser rihanna oklm #TheVoice	
Ah bah elle elle est venue pour gagner mdrrrr comme ça c’est clair mais jm pas trop #TheVoice	
Elle se croit trop dans un défilé de mode celle là aussi #TheVoice	
J’aime beaucoup sa voix à demoiselle #Drea... le niveau est haut cette année mais par contre, elle se donne un styl… https://t.co/X2HUQpkBsP	
#TheVoice c'est the voice France ?	
#TheVoice quelle présence et quelle maturité cette mini femme ??????	
J’adore ça déchire  #TheVoice	
